id,kategooria,alamteema,lahendusvotted
2010-v3g-07,taevamehaanika,satelliitide kokkupõrked,"Kasutage analoogiat molekulaarfüüsikaga, et hinnata satelliitide kokkupõrke-ristlõike ja liikumisruumi."
2010-v3g-08,elektriahelad,takistid ja kondensaatorid,"Kasutage Ohmi seadust ja kondensaatori laadimise valemit, et leida takisti takistus ja kondensaatori mahtuvus."
2010-v3g-09,geomeetriline optika,läätse tasand ja peatelg,Kasutage sirgete lõikepunktide leidmiseks geomeetrilisi konstruktsioone ja analüüsige allikate ja kujutiste asukohti.
2010-v3g-10,kinemaatika,propelleri pöörlemine,"Uuri labade tihedust pildil ja kasuta pöörlemise seadusi, et leida propelleri pöörlemissuund ja labade arv."
2011-lahg-01,geomeetriline optika,läätse tugevus,"Kasutage läätse valemit ja fookuste ühtimise tingimust, et leida läätsede optilised tugevused."
2011-lahg-02,vedelike mehaanika,pindpinevus,"Kasutage jõudude tasakaalu ja kapillaarjõu valemit, et leida torude siseraadiuste suhe."
2011-lahg-03,dünaamika,inertsijõud,"Kasutage veoautoga seotud taustsüsteemi, et analüüsida inertsijõu ja raskusjõu resultantjõude."
2011-lahg-04,termodünaamika,soojushulk,"Konstruktsiooni graafiku aluse pindala leidmine, mis esindab neeldunud soojushulka."
2011-lahg-05,gaasid,hõõrdejõud,Kasutage ideaalse gaasi olekuvõrrandit ja tasakaalu jõude kolvi lõppasendis.
2011-lahg-06,magnetism,Lorentzi jõud,"Kasutage Newtoni teist seadust ja ringliikumise omadusi, et leida osakeste maksimaalne kaugus."
2011-lahg-07,kinemaatika,lennuki kõrgus,"Kasutage sarnaste kolmnurkade omadusi ja lööklaine koonuse nurka, et leida lennuki kõrgus."
2011-lahg-08,elektrostaatika,elektriväli sfäärides,Kasutage potentsiaali võrdsuse seadust ja elektrivälja tugevuse definitsiooni.
2011-lahg-09,dünaamika,mobiiltelefoni liikumine,"Kasutage gravitatsiooni ja hõõrdejõu tasakaalu analüüsi, et leida mobiiltelefoni keskmine kiirus."
2011-lahg-10,kinemaatika,pöörlemine,"Kasutage kiirusvektori suunda ja pöörlemise geomeetriat, et määrata teravad punktid kodaral."
2011-v2g-01,dünaamika,kokkupõrge,Kasutada energia jäävuse seadust ja massikeskme taustsüsteemi vahetust.
2011-v2g-02,taevamehaanika,satelliidi orbiit,"Kasutage geomeetrilisi suhteid, et leida varjus veedetud aja suhe orbiidi pikkusele."
2011-v2g-03,termodünaamika,ruumala paisumine,Kasutage vedeliku ruumala valemit ja arvutage paisumise tõttu vajalik vaba ruum paisupaagis.
2011-v2g-04,kinemaatika,rongide liikumine,"Kasutage liikumisvõrrandeid, et leida rongide kiirus ja aeg kokkupõrke hetkel."
2011-v2g-05,staatika,hõõrdetegur,Kasutage jõudude tasakaalu ja geomeetrilisi seoseid koonuse ruumala ja raadiuse vahel.
2011-v2g-06,elektriahelad,Ohmi seadus,Kasutage Ohmi seadust ja analüüsige voolutugevuse suhteid takistite ja sisetakistuse korral.
2011-v2g-07,dünaamika,pendli võnkeperiood,"Kasutage järjestikuste mõõtmiste erinevust, et leida pendli võnkeperiood ja arvutage keskmine periood."
2011-v2g-08,magnetism,induktsioon,"Kasutage Faraday seadust ja tasakaalu jõudude analüüsi, et leida lõppkiirus."
2011-v2g-10,geomeetriline optika,nõguslääts,"Kasutage paralleelsete kiirte ja abikiire joonistamise meetodit, et leida murdunud kiirte lõikepunktid."
2011-v3g-01,termodünaamika,aurustumine,"Kasutada energia jäävuse seadust, et seostada aurustumiseks vajalik soojushulk järelejäänud vee temperatuuri muutusega."
2011-v3g-02,dünaamika,vaba langemine,Kasutage Newtoni seadusi ja geomeetrilisi seoseid nurga leidmiseks.
2011-v3g-03,staatika,hõõrdetegur,Kasutage jõumomentide tasakaalu tuulepoolsete rataste telje suhtes.
2011-v3g-04,vedelike mehaanika,Bernoulli seadus,"Kasutage Bernoulli seadust ja pidevustingimust, et leida diameetrite suhe."
2011-v3g-05,magnetism,elektroni liikumine solenoidis,"Kasutage Lorentzi jõu ja tsentrifugaaljõu tasakaalu, et leida elektroni kiirus."
2011-v3g-06,kinemaatika,pildi deformeerumine,"Kasutage pildi jälje pikkuse ja katiku kiirusest tulenevaid seoseid, et leida triipude pikkus erinevates asendites."
2011-v3g-07,staatika,hõõrdetegur,"Kasutage jõudude ja jõumomentide tasakaalu seadusi, et leida nõutav hõõrdetegur."
2011-v3g-08,geomeetriline optika,fookuskaugus,"Rakenda väikeste nurkade lähendust ja sümmeetriliste kiirte analüüsi, et leida fookuskaugus."
2011-v3g-09,elektriahelad,elektrostaatiline tasakaal,"Kasutage Kirchhoffi seadusi, et leida voolude tasakaal ja arvutada membraani laeng."
2011-v3g-10,staatika,tungraud,"Kasutage Pythagorase teoreemi ja diferentseerimist, et leida tungraua kõrguse muutus vända pöördega."
2012-lahg-01,termodünaamika,jäätumine,Kasutage soojushulga tasakaalu seadust jää ja vee vahel.
2012-lahg-02,dünaamika,paraboolne trajektoor,"Kasutage kineetilise energia ja liikumise võrrandeid, et leida rahakoti lennutrajektoor."
2012-lahg-03,elektrostaatika,kondensaator,"Kasutage jõudude tasakaalu ja kiirenduse seoseid, et leida massi ja laengu suhe."
2012-lahg-04,geomeetriline optika,kumerlääts,"Kasutage sarnaste kolmnurkade omadusi, et leida kärbse kujutise trajektoori pikkus ja kiirus."
2012-lahg-05,vedelike mehaanika,hüdrostaatika,"Kasutage hüdrostaatika tasakaalu seadust, et leida õhukihi paksus ja summaarne jõud luugile."
2012-lahg-06,dünaamika,impulsi jäävus,"Kasutage energia ja impulsi jäävuse seadusi, et leida seoseenergia."
2012-lahg-07,dünaamika,impulsi ülekanne,Kasutage impulsi säilitamise seadust ja analüüsige kokkupõrkeid väikese keha süsteemis.
2012-lahg-08,elektriahelad,dioodide võimsus,"Kasutage Kirchhoffi seadusi ja dioodi omadusi, et analüüsida voolu ja pinget skeemis."
2012-lahg-09,staatika,nööri tasakaal,"Kasutage jõudude tasakaalu seadust, et seostada nööri pinge ja hõõrdejõud."
2012-lahg-10,dünaamika,impulss ja energia,Kasutage impulsi säilitamise seadust ja sarnasuse suhteid kildude liikumissuundade põhjal.
2012-v2g-01,geomeetriline optika,peegeldumine,"Koosta joonis ja kasuta sarnaste kolmnurkade omadusi, et leida aeg, mil inimesed teineteist peeglis märkavad."
2012-v2g-02,termodünaamika,soojushulkade tasakaal,"Kasutage soojushulkade tasakaalu võrrandit, et leida veevoolu kiirus."
2012-v2g-03,vedelike mehaanika,ujumine ja üleslükkejõud,"Kasutage Archimedese seadust, et seostada üleslükkejõud ja raskusjõud."
2012-v2g-04,kinemaatika,pöörlev liikumine,Kasutage kettaga kaasapöörlevat taustsüsteemi ja analüüsige näitleja liikumist sirgjooneliselt.
2012-v2g-05,dünaamika,kesktõmbejõud,Kasutage energia jäävuse seadust ja kesktõmbejõu tasakaalu võrrandeid.
2012-v2g-06,gaasid,kuumaõhu tihedus,"Kasutage ideaalse gaasi seadust ja tiheduse võrrandeid, et leida vajalik temperatuur kuumaõhupalli sees."
2012-v2g-07,kinemaatika,vihmapiiskade langemine,"Kasutage kiirusvektorite komponente ja suhete seadusi, et leida vertikaalkomponent."
2012-v2g-08,elektriahelad,takistuse muutumine,"Kasutage takistuse valemit ja analüüsige kahte juhtu, et leida takistuse muutumine ajas."
2012-v2g-09,dünaamika,noole liikumine,"Kasutage kineetilise energia ja liikumisvõrrandite kombinatsiooni, et leida noole algkiirus ja laskmisnurk."
2012-v2g-10,elektrostaatika,koonuse potentsiaal,Kasutage potentsiaalide superpositsiooniprintsiipi ja võrdelisuse seadust koonuse laengu ja lineaarmõõtmete vahel.
2012-v3g-01,termodünaamika,hõõrdumine ja soojushulk,"Kasutage soojushulga ja hõõrdeteguri seoseid, et leida vajaliku jõu väärtus."
2012-v3g-02,dünaamika,veejoa liikumine,"Kasutage parabooli võrrandit ja mõõtke jooniselt koordinaate, et leida veejoa läbimõõt."
2012-v3g-03,elektriahelad,Whetstone'i sild,Kasutage sümmeetria ja Kirchhoffi seadusi voolutugevuste leidmiseks.
2012-v3g-04,vedelike mehaanika,üleslükkejõud,"Kasutage Archimedes'e seadust ja rõhuerinevust, et leida vajalik sügavus, kus palli keskmine tihedus muutub väiksemaks vee tihedusest."
2012-v3g-05,kinemaatika,rataste pöördenurk,"Kasutage geomeetrilisi suhteid ja trigonomeetrilisi funktsioone, et leida pöördenurkade vaheline seos."
2012-v3g-06,geomeetriline optika,punktallika kujutised,"Kasutage peegelduste ja läätsede omadusi, et leida kujutiste asukohad ja suurused ekraanil."
2012-v3g-07,termodünaamika,sulamissoojus,"Kasutage temperatuuri ja aja graafiku puutuja tõusu, et leida efektiivne soojusvõimsus ja arvutage sulamissoojus."
2012-v3g-08,dünaamika,liivakella kaalunäidud,"Kasutage Newtoni II seadust ja masskeskme koordinaadi tuletisi, et leida kaalu näitude vahe."
2012-v3g-09,elektrostaatika,laengud ja potentsiaal,"Kasutage elektrivälja ja kineetilise energia seoseid, et analüüsida osakeste trajektoore ja nende jõudmist kõrgema potentsiaaliga piirkondadesse."
2013-lahg-01,dünaamika,hõõrdetegur,"Kasutage tasakaalu tingimusi ja trigonomeetrilisi suhteid, et leida hõõrdetegur kaldenurga kaudu."
2013-lahg-02,magnetism,Lorentzi jõud,"Kasutage Lorentzi jõu ja ringliikumise seoseid, et leida maksimaalne langemisnurk."
2013-lahg-03,dünaamika,nööri elastsus,"Kasutage energia jäävuse seadust, et seostada potentsiaalne energia ja vedru potentsiaalne energia."
2013-lahg-04,gaasid,üleslükkejõud,"Kasutage ideaalse gaasi seadust ja tasakaalu tingimusi, et leida õhupalli maksimaalne koormise mass Marsil."
2013-lahg-05,magnetism,elektromagnetiline induktsioon,"Kasutage Faraday seadust, et leida elektromotoorjõud ja arvutage seejärel võimsus lambis."
2013-lahg-06,elektrostaatika,kuloniline jõud,"Võrdle Lorentzi jõudu ja kulonilist jõudu, et leida vajalik laeng."
2013-lahg-07,vedelike mehaanika,ujumine ja jõud,"Kasutage Archimedese seadust ja arvutage jõudude tasakaal kausi massi, vee massi ja üleslükkejõu vahel."
2013-lahg-08,staatika,jõudude tasakaal,"Vaatle jõumomentide tasakaalu telje suhtes, mis läbib toetuspunkti."
2013-lahg-09,elektriahelad,võimsuse arvutamine,"Kasutage Ohmi seadust ja paralleel- ning jadamisi ühenduste omadusi, et leida iga lambi kaudu voolav pinge ja arvutada võimsus."
2013-lahg-10,geomeetriline optika,varju ja valguse levik,"Kasutage geomeetrilise optika seadusi, et analüüsida varju ja valguskiirte suundi, ning rakendage sarnaste kolmnurkade omadusi."
2013-v2g-01,kinemaatika,kiirus ja kiirendus,Kasutage keskmise kiirusena $v_{max}/2$ kiirusel kiirendamise ja pidurdamise ajal.
2013-v2g-02,termodünaamika,alajahtumine,"Kasutage soojushulga tasakaalu, et leida jää mass alajahtunud vee soojendamiseks."
2013-v2g-04,dünaamika,kaldenurk,"Kasutage kiirus- ja kiirendusvalemeid, et leida kaldenurk, arvestades, et hõõrdejõud puudub."
2013-v2g-05,elektriahelad,Ohmi seadus ja Kirchhoffi seadused,Rakenda Ohmi seadust ja Kirchhoffi seadusi voolude leidmiseks igas kontuuris.
2013-v2g-06,taevamehaanika,Päikese tihedus,Kasutage Maa ja Päikese vahelise gravitatsioonijõu tasakaalu ning Päikese raadiuse ja ruumala arvutamist.
2013-v2g-07,vedelike mehaanika,hüdrostaatika,Kasutage hüdrostaatika tasakaalu tingimusi ja isotermilise olekuvõrrandi rakendamist.
2013-v2g-09,dünaamika,jõumomentide tasakaal,"Kasutage jõumomentide tasakaalu võrrandite süsteemi, et leida õõnsuse keskpunkti kaugus kera keskpunktist."
2013-v2g-10,magnetism,mass-spektromeeter,"Kasutage osakeste kiirusest ja ringliikumise seadust, et leida isotoobi molaarmass."
2013-v3g-01,geomeetriline optika,nõgusläätsed,"Kasutage sarnaste kolmnurkade omadusi ja moodustage lineaarvõrrandisüsteem, et leida fookuskaugus."
2013-v3g-02,dünaamika,palli põrge,"Kasutage kõrguse ja aja ruudu seost, et leida maksimaalne kõrgus pärast esimest põrget."
2013-v3g-03,kinemaatika,tuule kiirus,Kasutage vektorkonstruktsiooni ja koosinusteoreemi tuule kiirusvektori leidmiseks.
2013-v3g-04,elektriahelad,kondensaatorite jadaühendus,"Kasutage kondensaatorite jadaühenduse omadusi, et analüüsida pinget ja voolu."
2013-v3g-05,taevamehaanika,geostatsionaarne orbiit,"Kasutage jõudude tasakaalu ja tiirlemisperioodi seoseid, et leida orbiidi raadius."
2013-v3g-06,varia,lainete levimine,"Kasutage laineharja kiirusseoseid ja mõõtke ringide läbimõõte, et leida sügavus suhtes L."
2013-v3g-07,geomeetriline optika,läätsed ja suurendus,"Kasutage läätse kauguste ja suurenduse seoseid, et leida sensorile langeva kiirgusvõimsuse suhe."
2013-v3g-08,termodünaamika,soojusvahetus,"Kasutage soojusvahetuse võimsuse võrdsust, et leida inimeste ja valgustite panus kütmisse."
2013-v3g-09,dünaamika,pallide kokkupõrge,Analüüsi pallide liikumist komponentide kaupa ja arvuta kokkupõrkehetkeks vajalikud ajad ja kaugused.
2013-v3g-10,elektrostaatika,kondensaatorite töö,"Kasutage kondensaatori mahtuvuse ja energia valemeid, et leida töö, mis tehti plaadi sisseviimisel."
2014-lahg-01,dünaamika,rongi kiirus,"Kasutage võimsuse valemit ja tasakaalu jõude, et leida kiirus horisontaalsel teel ja tõusul."
2014-lahg-02,dünaamika,rõhk ja jõud,"Kasutage Newtoni seadusi ja rõhu erinevust, et leida palli kiirus."
2014-lahg-03,taevamehaanika,orbiidid,"Kasutage energia ja impulsimomendi jäävuse seadusi, et leida suurim kaugus orbiidil."
2014-lahg-04,elektriahelad,takistus,Kasutage sümmeetriat ja ekvivalentskeemide analüüsi takistuse leidmiseks.
2014-lahg-05,dünaamika,mitteelastne kokkupõrge,"Kasutage kangireeglit ja Newtoni teist seadust, et leida masside kiirus pärast kokkupõrget."
2014-lahg-06,vedelike mehaanika,ujumine ja üleslükkejõud,"Kasutage Archimedese seadust ja tasakaalu tingimusi, et leida klotsi alumises vedelikus asuv osa."
2014-lahg-07,geomeetriline optika,läätsede konstruktsioon,"Kasutage fookuse asukohta ja paralleelsete kiirte lõikepunkti, et konstrueerida läätsede optiline skeem."
2014-lahg-08,staatika,jõudude tasakaal,"Kasutage jõudude ja jõumomentide tasakaalu seadusi, et leida nurk ja hõõrdetegur."
2014-lahg-09,termodünaamika,soojusülekande tasakaal,"Kasutage Stefani-Boltzmanni seadust ja tasakaalu tingimusi, et leida temperatuuride sõltuvus kuubi asendist."
2014-lahg-10,taevamehaanika,Doppleri efekt,"Kasutage Doppleri nihke valemit, et leida Päikese pöörlemisperiood, arvestades kiirusvahet ja lainepikkuse muutust."
2014-v2g-01,dünaamika,vabalangemine,"Kuna pudel ja vesi on vabalangemises, siis vesi ei voola välja kummalgi juhul."
2014-v2g-02,dünaamika,pähklite viskamine,"Kasutame rongiga seotud taustsüsteemi, et analüüsida pähklite horisontaalset ja vertikaalset liikumist eraldi."
2014-v2g-03,taevamehaanika,Maa pöörlemisperiood,"Kasutage Maa tiirlemise ja pöörlemise suhete analüüsi, et leida pöörlemisperiood."
2014-v2g-04,dünaamika,mehaaniline töö,"Arvuta ühe sammu genereeritud energia ja võrrelge seda aku täitmiseks vajaliku energiaga, et leida vajalik sammude arv."
2014-v2g-05,dünaamika,õhutakistus,"Kasuta jõudude tasakaalu seadust ja kiirusest tulenevat seost, et leida Juhani aeg."
2014-v2g-06,staatika,tasakaal,"Kasutage tasakaalu tingimusi ja trigonomeetrilisi suhteid, et leida minimaalne kõrgus h."
2014-v2g-07,staatika,hõõrdumine,"Kasutage Newtoni teist seadust ja arvutage maksimaalne kiirus, mille korral ülemine klots ei libise."
2014-v2g-08,elektriahelad,energia arvutamine,Kasutage energia valemeid kondensaatori ja induktiivpooli jaoks ning võrrelge saadud väärtusi.
2014-v2g-09,termodünaamika,soojusülekanne,"Kasutage soojuskao ja radiaatori küttevõimsuse võrdlemist, et leida korterite temperatuur."
2014-v2g-10,gaasid,kuumaõhupall,"Kasutage ideaalse gaasi seadust ja tasakaalu tingimusi, et leida õhupalli lendamise kestus."
2014-v3g-01,elektriahelad,takistus ruudustikus,"Kasutage sümmeetria ja ühendage sama potentsiaaliga punktid, et lihtsustada takistuse arvutamist."
2014-v3g-02,kinemaatika,seisulained,Kasutage seisulainete tingimusi ja suhete leidmiseks võnkuvate osade pikkusi.
2014-v3g-03,gaasid,õhu ruumala ja rõhk,"Kasutage ideaalse gaasi olekuvõrrandit, et leida õhu ruumala muutus ja seeläbi määrata maksimaalne temperatuur, mille juures avariiventiil ei avane."
2014-v3g-04,geomeetriline optika,prisma peegeldumine,Kasutage Snelli seadust ja geomeetrilisi jooniseid kiirte käigu analüüsimiseks prismas.
2014-v3g-05,kinemaatika,lainepikkus,"Kasutage suhete analüüsi, et leida tumedate laikude kiirus halli kammi kiirusest lähtuvalt."
2014-v3g-06,staatika,polüspast,Kasutage jõu tasakaalu seadust ja analüüsige pingete jaotust plokkide vahel.
2014-v3g-07,dünaamika,maksimaalne kiirendus,"Kasutage jõudude ja jõumomentide tasakaalu võrrandeid, et leida kiirus."
2014-v3g-08,dünaamika,kiirus ja kiirendus,"Rakenda virtuaalse nihke meetodit, et leida kiirendus energia jäävuse seaduse kaudu."
2014-v3g-09,kinemaatika,pöörlemine,"Kasutage pöörleva süsteemi analüüsi, et leida puutepunkti kiirus radiaalse liikumise kaudu."
2014-v3g-10,geomeetriline optika,murdumisnäitaja,"Kasutage Snelli seadust ja analüüsige nurkade seoseid, et leida murdumisnäitaja."
2015-lahg-01,kinemaatika,heli levimine,"Kasutage heli levimise ja rongi liikumise ajavahe arvestamiseks võrrandit, mis seob vile kestuse ja rongi kiirus."
2015-lahg-02,elektriahelad,kogutakistus,"Kasutage takistite ühendamise reegleid, et leida kogutakistus järjestikuste ja paralleelsete takistite puhul."
2015-lahg-03,gaasid,balloon pressure,"Kasutage pingete tasakaalu seadust ja arvutage rõhk, kasutades valemit $p=\frac{t\sigma}{r}$."
2015-lahg-04,termodünaamika,aurustumine,"Kasutage energia tasakaalu, et seostada küttekeha võimsus aurustamisega ja arvutage välja joonkiirus."
2015-lahg-05,geomeetriline optika,läätse konstrueerimine,"Kasutage geomeetrilisi jooniseid ja valguskiirte murdumise seadusi, et leida läätse keskpunkt ja fookus."
2015-lahg-06,dünaamika,ioniseerimine,Kasutage energia ja impulsi jäävuse seadusi elastse kokkupõrke analüüsimiseks.
2015-lahg-07,vedelike mehaanika,veejoad,"Kasutage energia jäävuse seadust ja ruutvõrrandi lahendamist, et leida algkõrgus, millest vesi peab välja voolama, et jõuda antud punktini."
2015-lahg-08,dünaamika,pöörlemine,"Kasutage jõudude ja momentide tasakaalu seadusi, et leida pöörlemistelje kaugus lati lükatavast otsast."
2015-lahg-09,dünaamika,hõõrdumine,"Kasutage jõudude tasakaalu seadust ja trigonomeetrilisi suhteid, et leida keermete ja hõõrdejõu suhe."
2015-lahg-10,magnetism,kuulike trajektoor,Kasutage jõudude tasakaalu ja energia jäävuse seadust kuulikese trajektoori määramiseks.
2015-v2g-01,kinemaatika,rongi liikumine,"Kasutage kiirus, aeg ja kaugus seoseid, et leida rongi sõiduaeg ja läbitud vahemaa."
2015-v2g-02,elektriahelad,lampide võimsus,"Kasutage Ohmi seadust ja võimsuse valemit, et leida takistuste suhe ja arvutada koguvõimsus jadamises."
2015-v2g-03,termodünaamika,soojusvahetus,"Kasutage energia säilitamise seadust, et võrdsustada jää sulamiseks vajalik energia vee jahtumisel eraldunud energiaga."
2015-v2g-05,dünaamika,jõud ja impulss,"Kasutage Newtoni seadusi ja jõumomentide tasakaalu, et leida toru telje nurk."
2015-v2g-06,dünaamika,elastne põrge,"Kasutage energia jäävuse ja impulsi jäävuse seadusi, et leida kõrgus $h$."
2015-v2g-07,staatika,jõuülekanne,"Kasutage kangi põhimõtet, et leida jõudude tasakaalu ja arvutada jõudude mõju."
2015-v2g-08,geomeetriline optika,fookuskaugus,"Kasutage murdumisseadust ja väikeste nurkade lähendust, et leida fookuskaugus R ja n abil."
2015-v2g-09,magnetism,magnetväli ja osakeste liikumine,"Kasutage Newtoni II seadust ja ringliikumise omadusi, et leida osakese väljumisnurk."
2015-v2g-10,elektrostaatika,laengud ja jõud,"Kasutage Newtoni seadusi ja võnkumiste perioodi valemit, et leida pulga liikumise periood."
2015-v3g-01,gaasid,ideaalse gaasi seadus,"Kasutada ideaalse gaasi seadust ja keskmise tiheduse võrrandit, et leida õhupalli ruumala."
2015-v3g-02,geomeetriline optika,läätsed ja valguskiired,"Kasutage läätsede valemit ja sarnaste kolmnurkade omadusi, et leida vajalik fookuskaugus."
2015-v3g-03,vedelike mehaanika,ujumine,"Kasutage jõudude tasakaalu ja rõhu seadust, et leida kuubi sees oleva gaasi algrõhk."
2015-v3g-04,elektriahelad,takistite ühendamine,"Kasutage Kirchhoffi seadusi ja takistite ühendamise reegleid, et leida takistuste väärtused."
2015-v3g-05,kinemaatika,palli lend,Kasutage inertsiaalsüsteemi ja analüüsige palli liikumist horisontaalses ja vertikaalses suunas.
2015-v3g-06,elektrostaatika,lööklainete mõju,Kasutage energia jäävuse seadust ja analüüsige osakese liikumist lööklaine taustsüsteemis.
2015-v3g-07,geomeetriline optika,läätse keskpunkt,"Kasutage puutujate lõikepunkti ja sirgete murdumise seadusi, et leida läätse keskpunkt ja fookus."
2015-v3g-08,dünaamika,vedru võnkumine,"Rakenda energia jäävuse seadust, et leida kõrgus, millest kast peab kukkuma."
2015-v3g-09,staatika,jõudude tasakaal,"Kasutage jõudude ja jõumomentide tasakaalu seadusi, et leida nurk niidi ja varda vahel."
2015-v3g-10,elektriahelad,türistorid,"Kasutage Kirchhoffi seadusi ja volt-amper karakteristikut, et leida voolutugevuse sõltuvus pingest."
2016-lahg-01,dünaamika,põrkumine,Kasutage energia säilitamise seadust ja analüüsige palli kiiruskomponente enne ja pärast põrget.
2016-lahg-02,dünaamika,külgkalle,"Kasutage jõu võrrandeid ja trigonomeetrilisi funktsioone, et leida külgkalle nurga α väärtus."
2016-lahg-03,elektriahelad,kondensaatorite käitumine,Kasutage Kirchhoffi seadusi ja kondensaatorite laengute omadusi vooluringis.
2016-lahg-04,geomeetriline optika,täielik sisepeegeldumine,Kasutage Snelli seadust ja täieliku sisepeegeldumise piirnurka arvutamiseks.
2016-lahg-05,geomeetriline optika,läätsede omadused,"Kasutage sarnaste kolmnurkade omadusi, et analüüsida valguskiirte käitumist läätsede kaudu."
2016-lahg-06,dünaamika,jõud ja kiirus,"Kasutage jõudude tasakaalu võrrandisüsteemi, et leida hõõrdejõud ja tuuletakistuskordaja."
2016-lahg-07,gaasid,ideaalse gaasi olekuvõrrand,"Kasutage ideaalse gaasi olekuvõrrandit, et leida paisupaagi algne rõhk ja minimaalne ruumala."
2016-lahg-08,elektriahelad,takistite ja voolude jaotumine,"Kasutage sümmeetriat ja Ohmi seadust, et leida voolude jaotumine takistites."
2016-lahg-09,kinemaatika,heli levik tuules,Kasutage heli leviaegade erinevusi tuule kiiruskomponentide arvutamiseks.
2016-lahg-10,elektrostaatika,elektriline dipool,"Kasutage tasakaalu tingimusi ja elektrostaatilise jõu valemit, et leida pinget traadis."
2016-v2g-01,elektriahelad,voltmeetrid,"Kuna voltmeetrit on ühesugused, asenda need takistustega ja arvuta pingelangud vastavalt."
2016-v2g-02,dünaamika,köieveo analüüs,"Kasutage Newtoni seadusi ja jõudude tasakaalu, et leida nööri tõmme ja maksimaalne kiirus."
2016-v2g-03,geomeetriline optika,läätse fookuskaugus,"Kasutage geomeetrilisi suhteid ja läätse valemit, et leida fookuskaugus."
2016-v2g-04,dünaamika,hõõrdumine,"Kasutage potentsiaalse energia ja hõõrdejõu töö seoseid, et leida vajalik kõrgus."
2016-v2g-05,gaasid,aurustumine,"Kasutage ideaalse gaasi olekuvõrrandit, et leida lisarõhk ja seejärel arvutage uksele mõjuv jõud."
2016-v2g-06,dünaamika,kuuli trajektoor,"Kasutage liikumisvõrrandeid horisontaalse ja vertikaalse liikumise jaoks, et leida kuuli trajektoor ja tabamiskoht."
2016-v2g-07,laineoptika,valgustatus,"Kasutage valgustatuse valemit, arvestades kauguse ja valgusvoo jaotust vastavalt valgusallika tüübile."
2016-v2g-08,dünaamika,impulsi jäävuse seadus,"Kasutage horisontaalse impulsi jäävuse seadust, et leida palli ja klotsi liikumise suhe."
2016-v2g-09,vedelike mehaanika,U-toru rõhk,"Kasuta rõhu tasakaalu seadust U-torus, et leida õli tihedus."
2016-v2g-10,termodünaamika,veesoojendi soojusülekanne,"Kasutage energia tasakaalu seadust, et seostada soojendi võimsus ja väljavoolava vee massi voolukiirus."
2016-v3g-01,termodünaamika,soojusvahetus,"Kasutage soojushulga tasakaalu seadust, et leida vee väljumistemperatuur."
2016-v3g-02,dünaamika,pidurdusjõud,"Kasutage kineetilise energia ja potentsiaalse energia seoseid, et leida auto algkiirus."
2016-v3g-03,dünaamika,gravitatsioon,Rakenda energia jäävuse seadust kuuli laskmise hetkel ja kõrgeimas punktis.
2016-v3g-04,dünaamika,impulsimoment,"Kasutage impulsimomendi jäävuse seadust, et leida esialgne nurkkiirus."
2016-v3g-05,varia,radooni aktiivsus,"Kasutage uraani lagunemise ja radooni tekkimise tasakaalu seadust, et leida ohutu mass kivimist."
2016-v3g-06,geomeetriline optika,läätse fookuskaugus,Kasutage õhukese läätsena poolkera fookuskauguse valemit $f=nR/(n-1)$.
2016-v3g-07,elektriahelad,Kirchhoffi seadused,"Kasutage Kirchhoffi seadusi, et analüüsida voolu ja pinget erinevates kontuurides."
2016-v3g-08,geomeetriline optika,peegelpilt,"Konstruktsioonime peegelpildi leidmiseks, jälgides, kuidas valgus peegeldub peeglites."
2016-v3g-09,kinemaatika,tuule mõju,"Kasutage vektoreid, et analüüsida kaatri liikumist tuule suhtes ja arvutada tegelik tuule kiirus."
2016-v3g-10,elektrostaatika,elektrilised jõud,Rakendage impulsi ja energia jäävuse seadusi ning kasutage sümmeetriat kuulide kiiruste leidmiseks.
2017-lahg-01,kinemaatika,Doppleri efekt,"Rakenda Doppleri seadust auto lähenemise ja eemaldumise korral, et leida kiirus."
2017-lahg-02,geomeetriline optika,läätsede kujutised,"Kasutage läätsevalemit, et leida kujutise asukoht."
2017-lahg-03,elektrostaatika,elektroni liikumine elektriväljas,Kasutage Newtoni teist seadust ja analüüsige elektroni liikumist paraboolselt trajektoorilt.
2017-lahg-04,elektriahelad,takisti võimsus,Kasutage Ohmi seadust ja võimsuse valemit takisti väärtuse leidmiseks.
2017-lahg-05,gaasid,rehvi rõhk,"Kasutage jõudude tasakaalu ja ideaalse gaasi võrrandit, et leida rehvi deformatsiooni ja rõhu muutus."
2017-lahg-06,termodünaamika,kasvuhooneefekt,"Kasutage Stefan-Boltzmanni seadust ja tasakaalu võimsuste vahel, et leida maapinna temperatuur."
2017-lahg-07,elektrostaatika,kondensaatori mahtuvus,Vaatle kondensaatorit kui kahte järjestikku ühendatud dielektrikuga kondensaatorit ja rakenda Gaussi teoreemi.
2017-lahg-08,dünaamika,plokkide süsteem,"Kasutage Newtoni seadusi ja nööride venimatuse tingimusi, et leida pinged ja tasakaalu tingimused."
2017-lahg-09,dünaamika,auto kiirus ja kiirendus,Kasutage jõudude ja jõumomentide tasakaalu tingimusi auto taustsüsteemis.
2017-lahg-10,dünaamika,kiirus ja kiirendus,"Kasutage varraste venimatust ja kesktõmbekiirendust, et leida kiirus ja kiirendus punktis B."
2017-v2g-01,elektriahelad,voltmeeter,"Kasutage Ohmi seadust ja analüüsige, kuidas lühistamine mõjutab takistuste kogutakistust ja seega voltmeetri näitu."
